"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-17","57",",,7","47",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-18","62",",,7","46",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-19","58",",,7","50",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-20","61",",,7","47",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-21","66",",,7","48",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-22","64",",,7","43",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-23","62",",,7","50",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-24","63",",,7","51",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-25","70",",,7","45",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-26","70",",,7","48",",,7","58",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-27","72",",,7","53",",,7","60",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-28","71",",,7","49",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-01","56",",,7","49",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-02","55",",,7","48",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-03","58",",,7","46",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-04","59",",,7","49",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-05","55",",,7","48",",,7","48",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-06","57",",,7","46",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-07","63",",,7","46",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-08","59",",,7","46",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-09","59",",,7","46",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-10","67",",,7","47",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-11","61",",,7","48",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-12","57",",,7","48",",,7","48",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-13","52",",,7","45",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-14","57",",,7","43",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-15","60",",,7","48",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-16","60",",,7","48",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-17","58",",,7","48",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-18","59",",,7","45",",,7","48",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-19","58",",,7","45",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-20","60",",,7","46",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-21","59",",,7","47",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-22","59",",,7","51",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-23","63",",,7","50",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-24","79",",,7","52",",,7","65",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-25","80",",,7","52",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-26","64",",,7","52",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-27","61",",,7","54",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-28","60",",,7","51",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-29","59",",,7","48",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-30","64",",,7","49",",,7","56",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-03-31","61",",,7","50",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-01","56",",,7","49",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-02","58",",,7","46",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-03","60",",,7","46",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-04","67",",,7","48",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-05","69",",,7","50",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-06","64",",,7","49",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-07","61",",,7","53",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-08","62",",,7","52",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-09","71",",,7","51",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-10","65",",,7","50",",,7","56",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-11","63",",,7","50",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-12","61",",,7","48",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-13","73",",,7","48",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-14","60",",,7","50",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-15","61",",,7","52",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-16","59",",,7","53",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-17","60",",,7","50",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-18","58",",,7","50",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-19","60",",,7","50",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-20","60",",,7","50",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-21","64",",,7","49",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-22","61",",,7","50",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-23","56",",,7","49",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-24","56",",,7","50",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-25","59",",,7","50",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-26","58",",,7","48",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-27","60",",,7","50",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-28","61",",,7","49",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-29","64",",,7","50",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-04-30","64",",,7","51",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-01","59",",,7","50",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-02","58",",,7","49",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-03","59",",,7","50",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-04","63",",,7","49",",,7","56",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-05","81",",,7","55",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-06","65",",,7","53",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-07","61",",,7","50",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-08","65",",,7","50",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-09","69",",,7","51",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-10","65",",,7","51",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-11","60",",,7","51",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-12","62",",,7","52",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-13","62",",,7","51",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-14","62",",,7","51",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-15","63",",,7","51",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-16","64",",,7","52",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-17","58",",,7","51",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-18","65",",,7","50",",,7","56",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-19","68",",,7","53",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-20","64",",,7","51",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-21","67",",,7","51",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-22","62",",,7","51",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-23","58",",,7","50",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-24","59",",,7","50",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-25","60",",,7","51",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-26","62",",,7","52",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-27","65",",,7","51",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-28","60",",,7","52",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-29","66",",,7","52",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-30","75",",,7","52",",,7","56",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-05-31","75",",,7","53",",,7","56",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-01","60",",,7","52",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-02","65",",,7","52",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-03","66",",,7","54",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-04","64",",,7","53",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-05","65",",,7","55",",,7","56",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-06","65",",,7","56",",,7","56",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-07","61",",,7","54",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-08","60",",,7","53",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-09","58",",,7","53",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-10","59",",,7","52",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-11","59",",,7","52",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-12","59",",,7","51",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-13","60",",,7","50",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-14","62",",,7","51",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-15","63",",,7","52",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-16","60",",,7","50",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-17","65",",,7","52",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-18","69",",,7","51",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-19","60",",,7","52",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-20","62",",,7","51",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-21","67",",,7","52",",,7","57",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-22","68",",,7","53",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-23","64",",,7","52",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-24","59",",,7","52",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-25","60",",,7","50",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-26","65",",,7","52",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-27","68",",,7","53",",,7","56",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-28","66",",,7","52",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-29","66",",,7","51",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-06-30","61",",,7","52",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-07-01","65",",,7","53",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-07-02","62",",,7","53",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-07-03","60",",,7","54",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-07-04","62",",,7","53",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-07-05","61",",,7","52",",,7","53",",,7,2400"
